Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,0,16.8,17.6,18.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,0,65.4,68.55039112,72.24
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,0,49.03846808,57.9,62.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,0,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,0,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,0,29,32.4,36
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,0,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,0,77.7,79.9,85.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,0,68.24505226,66.54394969,76.51
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,0,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,0.585094712,87.6,88.6,89.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT,0.130369377,87.47913723,87.75220479,87.52942813
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE,0,79.79999549,81.09999907,84.59999573
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Bahamas, The",BHS,0,83,85,87
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bahrain,BHR,0,98.64467258,99.70149256,99.67
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bangladesh,BGD,0,21.8,23.8,24.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Barbados,BRB,0,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belarus,BLR,0,79.12988669,82.78915209,85.09
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belgium,BEL,0.00100674,88.647343,90.27542981,91.52641629
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belize,BLZ,0,49.8,50.8,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Benin,BEN,0,19,22.4,25.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bermuda,BMU,0,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bhutan,BTN,0,49.5,53.5,53.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bolivia,BOL,0,44.2861422,47.47481911,59.94010155
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bosnia and Herzegovina,BIH,0,70.12013504,69.94634763,73.21
Individuals using the Internet (% of population),IT.NET.USER.ZS,Botswana,BWA,0,58,61,64
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brazil,BRA,0,70.43428254,73.91244005,81.34269353
Individuals using the Internet (% of population),IT.NET.USER.ZS,British Virgin Islands,VGB,0,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brunei Darussalam,BRN,0,95,95,95
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bulgaria,BGR,0,64.78201069,67.94698094,70.16
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burkina Faso,BFA,0,17.4,18,22
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burundi,BDI,0,4.1,6.2,9.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cabo Verde,CPV,0,59.5,61.94339776,64.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cambodia,KHM,0,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cameroon,CMR,0,29.7,33.5,37.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Canada,CAN,0.360999701,94.64,96.5,96.97
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cayman Islands,CYM,0,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Central African Republic,CAF,0,5.1,8.3,10.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chad,TCD,0,8,9.8,10.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Channel Islands,CHI,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chile,CHL,0,84.9,86.1,88.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,China,CHN,0,59.2,64.10983774,70.40477542
Individuals using the Internet (% of population),IT.NET.USER.ZS,Colombia,COL,0,64.12637682,65.00690072,69.79
Individuals using the Internet (% of population),IT.NET.USER.ZS,Comoros,COM,0,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Dem. Rep.",COD,0,11.7,12.5,13.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Rep.",COG,0,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Costa Rica,CRI,0,73.47972844,81.20259644,80.53018608
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cote d'Ivoire,CIV,0,37.54653613,36.28895457,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Croatia,HRV,0,75.29462599,79.07978368,78.32093274
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cuba,CUB,0,62.67892362,67.97080866,74
Individuals using the Internet (% of population),IT.NET.USER.ZS,Curacao,CUW,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cyprus,CYP,0,84.43358252,86.06362996,90.80194723
Individuals using the Internet (% of population),IT.NET.USER.ZS,Czech Republic,CZE,0,80.68816754,80.86694441,81.33889705
Individuals using the Internet (% of population),IT.NET.USER.ZS,Denmark,DNK,0.097277268,97.31920437,98.04643475,96.54914573
