Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Afghanistan,AFG,5095660722.79513,5342742589.65987,5095360081.4769
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Albania,ALB,2822258522.72352,2845433523.27598,2703385211.46102
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Algeria,DZA,40932019142.592,39643603685.527,36213261768.4729
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,American Samoa,ASM,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Andorra,AND,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Angola,AGO,34692581666.3366,33457525758.26,29989258319.8076
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Antigua and Barbuda,ATG,334518015.307549,350863017.795723,276208962.832851
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Argentina,ARG,128622128322.544,122460946863.976,110987515725.352
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Armenia,ARM,3058561557.46011,3380022136.38539,3280371461.4503
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Aruba,ABW,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Australia,AUS,332401263279.994,336291953845.848,336458289219.36
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Austria,AUT,105790933513.074,105876299434.879,99884286308.0273
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Azerbaijan,AZE,21882789713.3625,22074741413.1313,20754290663.4922
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"Bahamas, The",BHS,1256259354.0653,1241592694.45032,813123298.780058
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Bahrain,BHR,13031712309.0256,13326827617.5962,13166947109.6501
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Bangladesh,BGD,69378440975.7459,77449459420.6106,80246229075.8225
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Barbados,BRB,619810091.498952,617069233.406737,592885062.313571
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Belarus,BLR,19159274427.7395,19479664350.1077,17601668919.5989
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Belgium,BEL,91383586869.5703,94409228522.3046,91488879642.8906
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Belize,BLZ,247598697.967093,236985572.41003,222936984.2449
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Benin,BEN,1982992020.62476,2251853900.55711,2368390197.96124
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Bermuda,BMU,386395639.372433,446843793.860709,373111705.676047
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Bhutan,BTN,886988739.085448,904784710.98547,786269025.875964
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Bolivia,BOL,9046167999.43251,9057303792.56908,7984912709.28769
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Bosnia and Herzegovina,BIH,4192781160.73683,4170557953.0875,4108875452.3001
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Botswana,BWA,5844669443.83779,5754140056.5184,4566154460.86721
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Brazil,BRA,333684919264.734,331449105035.014,320176758918.025
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,British Virgin Islands,VGB,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Brunei Darussalam,BRN,7789110996.3131,8115616220.93099,8351711603.8739
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Bulgaria,BGR,12801951938.336,12792328270.2335,11740968034.4593
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Burkina Faso,BFA,3510328136.43573,3593818539.28128,4032606408.83799
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Burundi,BDI,371718059.665341,379524138.918313,386203991.487226
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Cabo Verde,CPV,360110411.633247,386981496.547272,379258911.413226
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Cambodia,KHM,6765852700.5468,7529212559.62208,7423636753.85326
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Cameroon,CMR,8854219504.07855,9187257044.7326,9484167818.75204
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Canada,CAN,401427456399.364,401046968246.911,375738132486.687
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Cayman Islands,CYM,371830564.401945,400239835.541061,386811055.833077
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Central African Republic,CAF,398638302.172238,446730296.206472,446692305.902213
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Chad,TCD,1390990901.24783,1403510222.30521,1400703216.24459
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Channel Islands,CHI,..,..,..
